Id_block,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
90,0.7103097804679227,0.3879691928617615,0.6424772124647924,0.0,0.0,0.0,0.0,0.0,0.09899999999999999,0.4006781602050058,0.0
91,0.5804556520892552,0.4555957601006831,0.671377915379724,0.18999999999999997,0.0,0.22866666666666668,0.0,0.26566666666666666,0.0,0.39833333333333326,0.0
92,0.7673252239328181,0.4248522295383949,0.6474675986256441,0.0,0.0,0.0,0.125,0.0,0.0,0.5626666666666666,0.21866666666666668
93,0.5403052829934679,0.5534652315971499,0.4840662813215049,0.26501287470852036,0.2545076739621728,0.16276684357376597,0.22976282087013167,0.09009672137926068,0.11716666666666666,0.10294619709967319,0.2121666666666667
94,0.6158836813932262,0.42086205689806483,0.4465741588277087,0.07025,0.058499999999999976,0.0,0.42473980224162033,0.07801477669558632,0.08,0.13275,0.221460327961777
95,0.8439224917513257,0.3955812420939649,0.6481539091680617,0.0,0.0,0.0,0.0,0.0,0.0,0.6160344806150174,0.0
96,0.711452961709516,0.7425271751862236,0.6890049728025679,0.0,0.0,0.0,0.0,0.0,0.469,0.0,0.0
97,0.7309462479368046,0.49805345422588276,0.666100751206979,0.0,0.0,0.0,0.289211428337163,0.0,0.08983333333333333,0.5026666666666667,0.2735
98,0.7586103002709169,0.6501475424780394,0.6555823886302046,0.07816028707336548,0.06066257578170206,0.14115744327393587,0.39759883350924885,0.0715403768333312,0.0,0.26455938673500196,0.11377777777777778
99,0.6830574186519178,0.5094519476940661,0.6222764009826016,0.0,0.0,0.0,0.3388584376249478,0.0,0.0,0.285,0.0
100,0.18691083762445215,0.4973304796365018,0.1923800833793157,0.516,0.4238073112629653,0.0,0.0,0.0,0.0,0.0,0.0
101,0.5108277626838879,0.5331098170901665,0.46194254794021117,0.14787244847495692,0.14519202248710614,0.13807291333514737,0.254,0.13053730155158683,0.0,0.2776852939851177,0.1035
102,0.6490902625072033,0.4961835419629099,0.5477386308006136,0.01179999999999998,0.0,0.0,0.2032,0.0,0.0,0.33774823518809416,0.0828
103,0.4575627473195478,0.5669038276676924,0.48481084540120856,0.3283333333333333,0.13954983323862036,0.0,0.2259056250832985,0.0,0.0,0.0,0.0
104,0.6968328067141082,0.3839436708769183,0.6367540755411856,0.0,0.0,0.0,0.37499999999999994,0.0,0.0,0.0,0.258
105,0.6498170408270202,0.49243316482281946,0.5016572028708787,0.19266666666666662,0.14193067775665977,0.21366666666666667,0.39023895841663186,0.17831351762789627,0.24733333333333332,0.0,0.0
106,0.5139477465796796,0.4653530450185138,0.5525675309037185,0.137991595513471,0.12740920875460732,0.14852021228851917,0.0,0.10811606565511282,0.18580000000000002,0.2218,0.1812
107,0.5839528178631068,0.5119021148512809,0.6166122794427604,0.17263786072320833,0.1485,0.1538127213280886,0.082,0.092,0.0,0.47450000000000003,0.0
108,0.5084399182651097,0.3944648261321781,0.4165301535638097,0.0,0.2020014321759951,0.0,0.15633333333333332,0.104,0.14833333333333334,0.14533482209051757,0.13799999999999998
109,0.7468787248172412,0.41314424103813013,0.4836471158293208,0.0,0.0,0.0,0.2259056250832985,0.0,0.057333333333333326,0.17433333333333334,0.09366666666666668
