id	als	fr	de	en	valence	arousal	dominance	anger	anticipation	disgust	fear	joy	sadness	surprise	trust	NRC_cosine	FEEL_cosine	avg_cosine	nb_checks
82	Spezialischt	spécialiste	Spezialist	specialist	0.7378522295475484	0.5551447377170983	0.8553795574154638								0.664	0.9999363705724552	1.0	0.9999681852862276	0
83	Fachmann	spécialiste;technicien	Spezialist	technician;specialist	0.6815360478586735	0.5377135386229227	0.8004042371953717								0.664	0.9351518573269284	1.0	0.9675759286634642	0
84	speziell	spécial	speziell;Besondere	specially;special	0.7935058129532915	0.4782838059560946	0.677575641443419					0.574				0.9443450085462298	0.9814493264632228	0.9628971675047262	0
85	b'sundersch;Bsundersch;b’sundersch;bsundersch	particulièrement;séparément;spécial	Besondere	separately;special;singly;peculiarly	0.6020929917696026	0.4451380008192627	0.5182634862004071					0.574				0.877373650363172	0.3852201072462354	0.6312968788047038	0
86	besondern;bsundere;besonder;Bsundere;besonderen;besonderer;b'sunderi;bsunderi;besondere;bsunder;b’sundere;b'sunderer	spécial	Besondere	special	0.7773229638990985	0.5406472337443653	0.6700004635675213					0.574				0.999367092587832	0.7701273162888665	0.8847472044383493	0
87	Lanz;Lanze	lance	Speer;Lanze	lance;spear	0.4325414798834772	0.5967784670653803	0.5212179115314887	0.5	0.367		0.468					0.8771026762471122	0.5022679929272016	0.689685334587157	0
88	Spritzer;Schpritz;Schpritze	lance	Spritzer;Speer;Lanze	lance;spatter;spear	0.389615620380037	0.6050910803716557	0.4469067002938545	0.5	0.367		0.468					0.8175989989043266	0.5180371080807203	0.6678180534925235	0
89	g'spuckt;gspückt	prise de bec	gespuckt	spat	0.427	0.413	0.309	0.641								1.0	0.6107818214106696	0.8053909107053348	0
90	Kriegsmann	soldat	Soldat	soldier	0.392	0.7079999999999999	0.768	0.258					0.273			0.9999999999999998	0.8597754595951493	0.9298877297975744	0
91	apartich;aparti;apparti;apartig	singulièrement	einzigartig	singularly	0.655738797022804	0.3353337661856304	0.5707557035043621					0.375		0.2730028700217683		0.9300106055910732	0.7749098970274315	0.8524602513092524	0
92	Singen;singe;sing’;singen;sing;Sänger;Sängere;Singa;Singe	chanteur;en chantant	singen;Singen;Sänger	vocalist;singing;singer	0.7903046143794356	0.6423622862276455	0.5848172313723387					0.591				0.9264665223101898	0.7209801171843038	0.8237233197472468	0
93	krähje;kraihje;kräje;Kraje	chanter	singen	sing	0.858	0.606	0.42		0.411			0.729	0.017		0.422	1.0		1.0	0
94	heimlich;heimlig;heimelige	secret	Geheimhaltung;heimlich	clandestine;secretly;secrecy	0.3997368277222013	0.544034458366637	0.474415818631369							0.398	0.25	0.901623604894064	0.4987269471155263	0.7001752760047951	0
95	Gheimnis;G'heimnisse;G’heimnis;G'heimniss;G'heimniß;G'heimnis;G’heimnisser	secret;mystère	Geheimhaltung	secrecy	0.3348726462475479	0.5470805663364411	0.4747741842748754							0.398	0.25	0.9991059424636124	0.5628221573869133	0.7809640499252628	0
96	Schrift;Schriften;schrift	texte;écriture	Schrift	text;scripture	0.700220562706973	0.2341129332332478	0.5575906971431904					0.196			0.609	0.9088654089739464	0.4961389383568335	0.70250217366539	0
97	fanatischer	fanatique;sectaire	sektiererisch;fanatisch	sectarian;fanatical;fanatic;zealot	0.4561154701410747	0.7475585648957783	0.6299719361687214	0.359			0.359					0.9248519949211288	0.7764716714814859	0.8506618332013073	0
98	häisser;häissi;heisser;heiss;häiss;haiss	chaud;brûlant;ardent	glühend;sengend	scorching;fiery	0.4090087725190563	0.6826376095743766	0.5695611967559591	0.719								0.9004367197056706	0.5810782540330718	0.7407574868693712	0
99	fierige;firigi;fierig;fieri;firige;fierigi;firig	brûlant;ardent;torride	glühend;sengend	torrid;scorching;fiery	0.3958092563338593	0.6695266635712082	0.5704964109996019	0.719								0.8651463322792011	0.5082402941681089	0.686693313223655	0
100	brennenden;brennende;brennender	brûlant;ardent	glühend;sengend	scorching;fiery	0.4090087909992484	0.6826375789222738	0.5695611880764432	0.719								0.9004367166080087	0.4212561212423822	0.6608464189251955	0
101	wisseschaftlichi;wissenschaftliche;wissenschaftlicher;wisseschaftlich;wisseschaftliche	scientifique	Wissenschaftler;wissenschaftlich	scientist;scientific	0.6106622147069405	0.5053474961216419	0.8145984821595523		0.383						0.6741447651255968	0.9796121644322318	1.0	0.989806082216116	0
102	versichere;vrsicher;versicher	garantir	sichern	secure	0.8216394698216617	0.5040724435421626	0.825937936954946								0.7121049838920478	0.9944039054314844	0.9999999999999998	0.997201952715742	0
103	alter;Aelterer;Alten;Ältere;Alter;älter;Alte;Älteri	ancienneté;vieillesse;âge	alter;Alten;älter;Alter;Dienstalter	age;elderly;olden;seniority	0.4925124549056713	0.2692564179332902	0.4692885579016284								0.586	0.8152275797117421	0.5017677559045264	0.6584976678081342	0
104	b’schlagnahme	réquisition;saisie	beschlagnahmen;Beschlagnahme	seizure;requisition;impound	0.2630177432061738	0.6649264472531164	0.5368402963488744				0.7190000000000001					0.8363641794976697	0.6646060036862916	0.7504850915919807	0
105	ergriffen;ergreifen	s'emparer de	ergreifen	seize	0.656	0.644	0.673				0.625					1.0		1.0	0
106	trenne;trennen	séparer;se déconnecter	trennen	segregate;disconnect	0.3453817660467764	0.5016426241508777	0.346823920637518	0.437		0.555			0.4278378765868553			0.8552719600868379	0.7596766814012212	0.8074743207440296	0
107	üssüecha	chercher	suchen;Suche	seek;search	0.6171730317967058	0.5148396883156859	0.4781598900701125		0.586							0.9216259472859972	1.0	0.9608129736429988	0
108	suche;such;süch;süeche;Suche;suchen;Sueche;sueche;süecha;suech;süech;süache;Suchen;süche;Süeche	rechercher;chercher	suchen;Sucher;Suche	seek;seeker;search;searching	0.6176800972978141	0.5132659830616617	0.4892079306353163		0.586							0.8814598256836815	1.0	0.9407299128418408	0
109	verführerische	alléchant;engageant;séduisant	verführerisch	seductive	0.771	0.821	0.667		0.609							1.0	0.8517722989600526	0.9258861494800265	0
110	Aktien;Aktie	titres;actions	Wertpapiere;Aktie	securities;doings	0.6810235654517135	0.3923465291817093	0.7825511241191909								0.547	0.9427637092358512		0.9427637092358512	0
111	Wertpapieren;Wertpapierer	titres	Wertpapiere	securities	0.7332251158589437	0.3254856392765582	0.8351102193922242								0.547	0.9997623082398832		0.9997623082398832	0
112	garantiera;garantier;garantiere;garandir;garandier	garantir	sichern	secure	0.8216394698216618	0.5040724435421627	0.8259379369549461								0.7121049838920478	0.9944039054314844	0.9999999999999998	0.997201952715742	0
113	schütz;schitza;schüetze	protéger;garantir	sichern	protect;secure	0.8221478098686813	0.5825041994737489	0.8128847348248389								0.7121049314901635	0.9301937275231916	1.0	0.965096863761596	0
