,Id_block,valence_als,arousal_als,dominance_als,anger_als,disgust_als,fear_als,joy_als,sadness_als,surprise_als,trust_als,anticipation_als,valence_fr,arousal_fr,dominance_fr,anger_fr,disgust_fr,fear_fr,joy_fr,sadness_fr,surprise_fr,trust_fr,anticipation_fr
139,142,0.353,0.416,0.463,0.203,0.000,0.242,0.000,0.278,0.000,0.254,0.000,0.515,0.469,0.730,0.000,0.000,0.000,0.000,0.000,0.000,0.492,0.000
140,143,0.582,0.387,0.548,0.084,0.129,0.141,0.143,0.112,0.125,0.248,0.255,0.670,0.280,0.644,0.000,0.000,0.000,0.384,0.000,0.000,0.148,0.000
141,144,0.538,0.426,0.546,0.025,0.063,0.203,0.000,0.151,0.000,0.000,0.211,0.508,0.329,0.505,0.000,0.000,0.125,0.000,0.179,0.000,0.324,0.000
142,145,0.492,0.416,0.496,0.199,0.153,0.141,0.000,0.141,0.082,0.329,0.176,0.510,0.594,0.567,0.182,0.097,0.128,0.295,0.047,0.152,0.319,0.308
143,146,0.458,0.530,0.413,0.136,0.141,0.161,0.144,0.185,0.000,0.000,0.000,0.707,0.396,0.454,0.000,0.000,0.000,0.159,0.000,0.044,0.339,0.222
144,147,0.645,0.444,0.593,0.025,0.063,0.047,0.226,0.000,0.000,0.000,0.211,0.592,0.440,0.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.656
145,148,0.687,0.420,0.585,0.019,0.047,0.094,0.169,0.000,0.000,0.154,0.154,0.635,0.234,0.576,0.000,0.000,0.000,0.280,0.000,0.000,0.363,0.000
146,149,0.458,0.491,0.469,0.115,0.186,0.165,0.169,0.307,0.000,0.000,0.000,0.598,0.423,0.513,0.000,0.000,0.000,0.000,0.224,0.000,0.164,0.297
147,150,0.565,0.429,0.590,0.000,0.000,0.051,0.213,0.165,0.000,0.281,0.159,0.499,0.726,0.672,0.089,0.057,0.230,0.182,0.000,0.000,0.268,0.144
148,151,0.612,0.499,0.613,0.000,0.000,0.000,0.249,0.000,0.000,0.470,0.131,0.534,0.396,0.499,0.281,0.000,0.367,0.000,0.000,0.000,0.293,0.000
149,152,0.692,0.666,0.496,0.000,0.000,0.000,0.273,0.095,0.000,0.179,0.141,0.609,0.394,0.556,0.000,0.000,0.083,0.000,0.000,0.000,0.573,0.000
150,153,0.675,0.449,0.544,0.013,0.031,0.068,0.335,0.106,0.056,0.172,0.065,0.631,0.334,0.388,0.000,0.000,0.089,0.182,0.177,0.073,0.367,0.128
151,154,0.552,0.587,0.484,0.123,0.092,0.246,0.212,0.000,0.097,0.336,0.106,0.350,0.534,0.401,0.261,0.119,0.394,0.230,0.167,0.000,0.000,0.106
152,155,0.479,0.596,0.523,0.137,0.094,0.183,0.196,0.276,0.125,0.127,0.150,0.795,0.446,0.602,0.031,0.000,0.000,0.000,0.000,0.000,0.199,0.000
153,156,0.628,0.573,0.597,0.031,0.033,0.191,0.305,0.112,0.300,0.166,0.347,0.917,0.663,0.770,0.000,0.000,0.000,0.402,0.000,0.000,0.422,0.000
154,157,0.735,0.572,0.657,0.187,0.094,0.070,0.397,0.000,0.000,0.293,0.270,0.573,0.465,0.591,0.035,0.000,0.000,0.135,0.083,0.000,0.195,0.121
155,158,0.459,0.508,0.562,0.203,0.137,0.152,0.000,0.113,0.000,0.144,0.000,0.483,0.494,0.563,0.000,0.000,0.000,0.000,0.106,0.000,0.207,0.000
156,159,0.144,0.806,0.538,0.690,0.179,0.377,0.000,0.334,0.000,0.000,0.000,0.161,0.900,0.611,0.719,0.664,0.828,0.000,0.576,0.000,0.000,0.273
157,160,0.824,0.575,0.727,0.000,0.000,0.000,0.546,0.000,0.000,0.672,0.633,0.758,0.359,0.477,0.000,0.039,0.083,0.182,0.000,0.073,0.422,0.128
158,164,0.440,0.537,0.569,0.000,0.000,0.469,0.000,0.453,0.000,0.000,0.000,0.440,0.465,0.396,0.524,0.000,0.367,0.000,0.000,0.000,0.000,0.000
159,165,0.785,0.563,0.655,0.000,0.000,0.000,0.322,0.000,0.000,0.586,0.000,0.524,0.604,0.584,0.000,0.000,0.211,0.000,0.059,0.000,0.322,0.125
160,167,0.489,0.443,0.445,0.000,0.000,0.000,0.020,0.000,0.047,0.000,0.466,0.600,0.456,0.642,0.000,0.000,0.000,0.000,0.000,0.000,0.148,0.406
161,168,0.502,0.563,0.545,0.000,0.000,0.213,0.000,0.141,0.000,0.000,0.375,0.545,0.441,0.459,0.334,0.000,0.183,0.000,0.000,0.105,0.000,0.000
162,169,0.722,0.419,0.621,0.025,0.063,0.047,0.258,0.000,0.000,0.458,0.000,0.836,0.363,0.692,0.000,0.000,0.000,0.487,0.000,0.000,0.604,0.000
163,170,0.440,0.537,0.569,0.000,0.000,0.469,0.000,0.453,0.000,0.000,0.000,0.438,0.663,0.612,0.386,0.336,0.562,0.000,0.344,0.430,0.000,0.000
164,171,0.457,0.663,0.617,0.375,0.182,0.402,0.000,0.532,0.000,0.141,0.000,0.379,0.593,0.545,0.410,0.297,0.328,0.000,0.184,0.000,0.223,0.000
165,173,0.482,0.344,0.427,0.038,0.348,0.321,0.000,0.000,0.000,0.000,0.000,0.522,0.427,0.441,0.000,0.223,0.119,0.109,0.073,0.000,0.123,0.097
166,175,0.927,0.888,0.555,0.000,0.000,0.000,0.643,0.000,0.000,0.000,0.000,0.729,0.659,0.610,0.000,0.000,0.000,0.322,0.000,0.000,0.211,0.000
167,176,0.571,0.701,0.788,0.151,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.788,0.411,0.493,0.000,0.000,0.000,0.285,0.000,0.000,0.182,0.000
168,178,0.535,0.498,0.384,0.000,0.000,0.000,0.000,0.379,0.000,0.000,0.000,0.658,0.391,0.591,0.051,0.060,0.000,0.211,0.000,0.156,0.115,0.092
169,179,0.574,0.620,0.489,0.204,0.183,0.000,0.355,0.000,0.114,0.241,0.211,0.677,0.486,0.536,0.000,0.000,0.000,0.297,0.000,0.148,0.339,0.141
170,180,0.595,0.477,0.525,0.105,0.130,0.176,0.287,0.141,0.082,0.219,0.176,0.683,0.353,0.564,0.000,0.000,0.019,0.222,0.000,0.000,0.309,0.214
171,182,0.546,0.482,0.543,0.176,0.086,0.212,0.290,0.213,0.087,0.143,0.000,0.390,0.609,0.452,0.199,0.155,0.343,0.033,0.399,0.252,0.000,0.000
172,183,0.625,0.501,0.611,0.126,0.136,0.162,0.291,0.088,0.081,0.216,0.117,0.577,0.489,0.558,0.144,0.133,0.166,0.000,0.115,0.000,0.328,0.055
173,184,0.476,0.482,0.458,0.084,0.083,0.079,0.104,0.229,0.000,0.269,0.000,0.451,0.491,0.444,0.203,0.111,0.141,0.137,0.315,0.055,0.154,0.225
174,185,0.742,0.494,0.702,0.019,0.047,0.164,0.311,0.000,0.211,0.426,0.233,0.632,0.482,0.544,0.161,0.000,0.151,0.182,0.156,0.073,0.487,0.128
175,186,0.664,0.398,0.600,0.025,0.063,0.047,0.156,0.000,0.000,0.388,0.138,0.591,0.423,0.644,0.000,0.112,0.031,0.182,0.073,0.000,0.448,0.161
176,187,0.426,0.377,0.416,0.038,0.094,0.203,0.000,0.265,0.000,0.000,0.000,0.590,0.362,0.495,0.000,0.000,0.044,0.098,0.088,0.000,0.391,0.000
177,188,0.538,0.496,0.549,0.000,0.000,0.172,0.164,0.000,0.254,0.395,0.000,0.320,0.790,0.689,0.672,0.305,0.734,0.000,0.547,0.836,0.000,0.000
178,189,0.597,0.450,0.521,0.013,0.031,0.104,0.091,0.126,0.000,0.217,0.000,0.792,0.433,0.498,0.000,0.000,0.000,0.537,0.000,0.073,0.206,0.128
179,190,0.729,0.452,0.682,0.009,0.024,0.018,0.265,0.000,0.000,0.234,0.000,0.713,0.414,0.695,0.000,0.000,0.000,0.100,0.000,0.000,0.472,0.000
180,192,0.492,0.489,0.429,0.182,0.180,0.208,0.078,0.214,0.047,0.214,0.100,0.394,0.446,0.337,0.134,0.139,0.000,0.137,0.279,0.000,0.000,0.182
