word,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
Jungfrau,0.357,0.368,0.345,0.0,0.0,0.25,0.0,0.4,0.0,0.0,0.0
Jungfraue,0.357,0.368,0.345,0.0,0.0,0.25,0.0,0.4,0.0,0.0,0.0
Jungfrauie,0.357,0.368,0.345,0.0,0.0,0.25,0.0,0.4,0.0,0.0,0.0
Jungfer,0.357,0.368,0.345,0.0,0.0,0.25,0.0,0.4,0.0,0.0,0.0
Spinn,0.26,0.696,0.368,0.0,0.0,0.6249999999999999,0.0,0.0,0.0,0.0,0.0
Spinne,0.26,0.696,0.368,0.0,0.0,0.6249999999999999,0.0,0.0,0.0,0.0,0.0
Geist,0.7001360097906396,0.3757498207729483,0.5914842533655323,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
Gaischt,0.7001360097906396,0.3757498207729483,0.5914842533655323,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
Geischter,0.7001360097906396,0.3757498207729483,0.5914842533655323,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
Geister,0.7001360097906396,0.3757498207729483,0.5914842533655323,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
Geiste,0.7001360097906396,0.3757498207729483,0.5914842533655323,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
geist,0.7001360097906396,0.3757498207729483,0.5914842533655323,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
geistig,0.7001360097906396,0.3757498207729483,0.5914842533655323,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
Geischt,0.7001360097906396,0.3757498207729483,0.5914842533655323,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
Gäischt,0.7001360097906396,0.3757498207729483,0.5914842533655323,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
brache,0.2171275245683341,0.58946145618173,0.3933546078797906,0.0,0.7283214447365556,0.0,0.0,0.0,0.0,0.0,0.0
anmache,0.1442683464738602,0.7159159628476103,0.3245366929477206,0.0,0.617,0.0,0.0,0.0,0.0,0.0,0.0
Üsdür,0.7111626475488123,0.6151344086351743,0.8134249936195571,0.0,0.0,0.0,0.0,0.0,0.0,0.539,0.0
Stengel,0.4599541288074607,0.3499588402918981,0.4618528969890613,0.0,0.0,0.531,0.0,0.0,0.0,0.0,0.0
Stang,0.4599541288074607,0.3499588402918981,0.4618528969890613,0.0,0.0,0.531,0.0,0.0,0.0,0.0,0.0
Stiel,0.4470588706521295,0.3821717397813807,0.4138690384193749,0.0,0.0,0.531,0.0,0.0,0.0,0.0,0.0
Steel,0.4470588706521295,0.3821717397813807,0.4138690384193749,0.0,0.0,0.531,0.0,0.0,0.0,0.0,0.0
Winde,0.2706203384434039,0.8089336943838824,0.3874676444658083,0.0,0.492,0.0,0.0,0.0,0.0,0.0,0.0
verwöhne,0.1412059414827572,0.7033879424294615,0.3184118829655145,0.0,0.617,0.0,0.0,0.0,0.0,0.0,0.0
Verwöhne,0.1412059414827572,0.7033879424294615,0.3184118829655145,0.0,0.617,0.0,0.0,0.0,0.0,0.0,0.0
iwerfahre,0.2532129895266239,0.6563125055068026,0.4241308809276511,0.409,0.367,0.0,0.0,0.0,0.0,0.0,0.0
üewerfahre,0.2532129895266239,0.6563125055068026,0.4241308809276511,0.409,0.367,0.0,0.0,0.0,0.0,0.0,0.0
verdrucke,0.2673552206117175,0.5399812498068395,0.454240147108818,0.409,0.367,0.0,0.0,0.0,0.0,0.0,0.0
Sire,0.2191521806992352,0.6266874960979397,0.3668414862424171,0.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0
suure,0.2191521806992352,0.6266874960979397,0.3668414862424171,0.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0
süre,0.2191521806992352,0.6266874960979397,0.3668414862424171,0.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0
süür,0.2191521806992352,0.6266874960979397,0.3668414862424171,0.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0
saurer,0.2191521806992352,0.6266874960979397,0.3668414862424171,0.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0
süer,0.2191521806992352,0.6266874960979397,0.3668414862424171,0.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0
süri,0.2191521806992352,0.6266874960979397,0.3668414862424171,0.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0
sür,0.2191521806992352,0.6266874960979397,0.3668414862424171,0.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0
saure,0.2191521806992352,0.6266874960979397,0.3668414862424171,0.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0
rüehrend,0.755,0.331,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
ruehrend,0.755,0.331,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
ruehrendi,0.755,0.331,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Karne,0.77,0.22,0.51,0.0,0.0,0.0,0.401,0.0,0.0,0.0,0.0
Seel,0.77,0.22,0.51,0.0,0.0,0.0,0.401,0.0,0.0,0.0,0.0
Seelen,0.77,0.22,0.51,0.0,0.0,0.0,0.401,0.0,0.0,0.0,0.0
Seele,0.77,0.22,0.51,0.0,0.0,0.0,0.401,0.0,0.0,0.0,0.0
beruhigend,0.7662173183960808,0.2027300193698389,0.5350049291718515,0.0,0.0,0.0,0.5073138877867547,0.0,0.0,0.562,0.0
läsche,0.7983808345897219,0.1939999999999999,0.408972493429223,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0
löscha,0.7983808345897219,0.1939999999999999,0.408972493429223,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0
berühiga,0.8034331624082213,0.194,0.4097940101476782,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0
beruhigen,0.8034331624082213,0.194,0.4097940101476782,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0
berühige,0.8034331624082213,0.194,0.4097940101476782,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0
beruehige,0.8034331624082213,0.194,0.4097940101476782,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0
Berühige,0.8034331624082213,0.194,0.4097940101476782,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0
Beruhige,0.8034331624082213,0.194,0.4097940101476782,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0
Beruehige,0.8034331624082213,0.194,0.4097940101476782,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0
Beruhigen,0.8034331624082213,0.194,0.4097940101476782,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0
beruehig,0.8034331624082213,0.194,0.4097940101476782,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0
lindre,0.7522093490232803,0.194,0.4014649348005334,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0
versohle,0.1242128842413602,0.8685836563625933,0.6382559041011888,0.652,0.0,0.587,0.0,0.4030000000000001,0.0,0.0,0.0
schyne,0.8072695738025952,0.6489658986666108,0.6903723552375505,0.0,0.094,0.0,0.5204829232246262,0.0,0.367,0.0,0.4464706229420422
scheinen,0.8072695738025952,0.6489658986666108,0.6903723552375505,0.0,0.094,0.0,0.5204829232246262,0.0,0.367,0.0,0.4464706229420422
schiene,0.8072695738025952,0.6489658986666108,0.6903723552375505,0.0,0.094,0.0,0.5204829232246262,0.0,0.367,0.0,0.4464706229420422
schinne,0.8072695738025952,0.6489658986666108,0.6903723552375505,0.0,0.094,0.0,0.5204829232246262,0.0,0.367,0.0,0.4464706229420422
schin,0.8072695738025952,0.6489658986666108,0.6903723552375505,0.0,0.094,0.0,0.5204829232246262,0.0,0.367,0.0,0.4464706229420422
schien,0.8072695738025952,0.6489658986666108,0.6903723552375505,0.0,0.094,0.0,0.5204829232246262,0.0,0.367,0.0,0.4464706229420422
schynne,0.8072695738025952,0.6489658986666108,0.6903723552375505,0.0,0.094,0.0,0.5204829232246262,0.0,0.367,0.0,0.4464706229420422
Scheinen,0.8072695738025952,0.6489658986666108,0.6903723552375505,0.0,0.094,0.0,0.5204829232246262,0.0,0.367,0.0,0.4464706229420422
glänze,0.7754546029978774,0.6210714837973017,0.6845291116792677,0.0,0.094,0.0,0.5204908886809393,0.0,0.367,0.0,0.4464709225174093
glänzig,0.7754546029978774,0.6210714837973017,0.6845291116792677,0.0,0.094,0.0,0.5204908886809393,0.0,0.367,0.0,0.4464709225174093
Bohne,0.5752981941108837,0.2836034602923914,0.2995884678772,0.0,0.2945378655897746,0.0,0.0,0.0,0.0,0.0,0.0
Korn,0.5540161141611356,0.2481028787373815,0.3152082516929992,0.0,0.2945558613401486,0.0,0.0,0.0,0.0,0.0,0.0
Windstoß,0.4372999569747299,0.5257005124412573,0.4462293657972079,0.0,0.2945405396408058,0.0,0.0,0.0,0.0,0.0,0.0
